id,title,description,link,image_link,price ,availability,condition ,mobile_link,product_typebrand,,colour,material,variant_names,variant_value1,variant_value2,variant_value3,varaint_value4,variant_value5,variant_value6,variant_value7,variant_value8,variant_value9,variant_value10,variant_value11,variant_value12,variant_value13,variant_value14,variant_value15,variant_value16,variant_value17,variant_value18,variant_value19,variant_value20,google_product_category
1,Norwegian Spruce Rainbow Chandelier,This pretty 7 bulb chandelier has been made from Norwegian spruce reclaimed from the Tiger Brewery building in Burton-upon-Trent.,https://www.mooboohome.co.uk/shop/p_2773584/norwegian-spruce-rainbow-chandelier,https://drive.google.com/file/d/1LIgJWSVdwmk7dY4lD4yu4UNotXxhbX8X/view?usp=sharing,"GBP489,99",preorder,new,https://www.mooboohome.co.uk/shop/p_2773584/norwegian-spruce-rainbow-chandelier,Bespoke > Chandeliers,MooBoo Home,brown,wood,,,,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
2,Reclaimed Oak Chandelier,Reclaimed Oak Chandelier (200 year old Oak from Plymouth),https://www.mooboohome.co.uk/shop/p_2531086/reclaimed-oak-chandelier-200-year-old-oak-from-plymouth-,https://drive.google.com/file/d/1kEKaR6iqij0R3G5zoqVefYS6RNitpTEy/view?usp=sharing,"GBP280,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2531086/reclaimed-oak-chandelier-200-year-old-oak-from-plymouth-,Bespoke > Chandeliers,MooBoo Home,brown,wood,"number of bulb holders, length, price","4 bulb holders, 50cm, approximately £280","5 bulb holders, 60cm long, £310","6 bulb holders, 70cm long, £340","7 bulb holders, 80cm long, £370","8 bulb holders, 90cm long, £400","9 bulb holders, 1m long, £430","10 bulb holders, 1m10cm long, £460","11 bulb holders, 1m20cm long, £490","12 bulb holders, 1m30cm long, £520",,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
3,Reclaimed Oak Chandelier with wrapped cables ,"This ceiling light is based upon our classic beam, but instead of the cables passing through the timber, they are wrapped around the outside of the piece. 
In addition this light features custom made steel brackets for a more chunky industrial look by our Blackmsith neighbours at Cockingont Court Craft Centre, Rex Latham Blackmith. ",https://www.mooboohome.co.uk/shop/p_2726905/reclaimed-oak-chandelier-with-wrapped-cables-,https://drive.google.com/file/d/1afcM83uXScI_JUGdzut-UDxHjI90kE5N/view?usp=sharing,"GBP365,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2726905/reclaimed-oak-chandelier-with-wrapped-cables-,Bespoke > Chandeliers,MooBoo Home,brown,wood,"number of bulb holders, length, brackets, price","6 bulb holders, 60cm long, with brackets, £440","6 bulb holders, 60cm long, without brackets, £365","8 bulb holders, 80cm long, with brackets, £505","8 bulb holders, 80cm long, without brackets, £430","10 bulb holders, 100cm long, with brackets,£570","10 bulb holders, 100cm long, without brackets, £495","12 bulb holders, 120cm long, with bracekts, £635","12 bulb holders, 120cm long, without bracekts, £560",,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
4,Norwegian Spruce Chandelier,This gorgeous timber is Norwegian spruce and reclaimed for the Tiger Brewery in Burton-upon-Trent which was demolished in 2017.,https://www.mooboohome.co.uk/shop/p_2663973/norwegian-spruce-chandelier,https://drive.google.com/file/d/1zUSpilpCQb2jNVH52icNeHSLlMMQ3mCP/view?usp=sharing,"GBP230,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2663973/norwegian-spruce-chandelier,Bespoke > Chandeliers,MooBoo Home,brown,wood,"length, number of bulbs, price","50cm, 4 bulbs, £260","60cm, 5 bulbs, £260","70cm, 6 bulbs, £290","80cm, 7 bulbs, £320","90 cm, 8 bulbs, £350","1m long, 5 bulbs, £300","1m long, 7 bulbs, £340","1m long, 9 bulbs, £380","1m10cm long, 10 bulbs, £410","1m20cm long, 10 bulbs, £440","1m20cm, 7 bulbs, £380","1m20cm, 9 bulb holders, £420",,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
5,Whiskey Barrel Chandelier ,"This whiskey barrel chandelier works wonderfully in a high stairwell or as the centre piece if a living room or dining room. 

Available with 5 or 7 bulbs these barrels range from 50-65cm in diameter - we'll confirm your perfect size before we begin to make your fixture.",https://www.mooboohome.co.uk/shop/p_2607442/whiskey-barrel-chandelier,https://drive.google.com/file/d/1IuNuU-6CXH9WnzG54deL9pQd6SOWnI_n/view?usp=sharing,"GBP300,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2607442/whiskey-barrel-chandelier,Bespoke > Chandeliers,MooBoo Home,brown,wood,number of bulb holders,"5 bulb holders, £300","7 bulb holders, £340",,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
6,Oak Whiskey Barrel Stove 5bulb Chandelier,"This 5 Bulb Chandelier will be made from oak whiskey barrel staves. 

You choose the cable type - fabric twisted or round - colour, and the component colours.",https://www.mooboohome.co.uk/shop/p_2659229/oak-whiskey-barrel-stave-5-bulb-chandelier,https://drive.google.com/file/d/1xWNjveVSDTQ2hXGFapRv3Wh2-hGs4mSn/view?usp=sharing,"GBP225,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2659229/oak-whiskey-barrel-stave-5-bulb-chandelier,Bespoke > Chandeliers,MooBoo Home,brown,wood,,,,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
7,Reclaimed Oak Beam Wooden Chandelier - Ceiling Barn Light Pendant,Want something special hanging over your bed? We can design a light that's personal to you. This listing is for a chandelier made from beautiful Oak beams sourced from Dorset which until 10 years ago were the countryside sign posts.,https://www.mooboohome.co.uk/shop/p_2538533/reclaimed-oak-beam-wooden-chandelier-ceiling-barn-light-pendant-for-exposed-vintage-bulbs-custom-built-3-to-12-bulb-options,https://drive.google.com/file/d/10Hh87Pu62GSC4iYyz7M0LdQeNPdp3jJ-/view?usp=sharing,"GBP300,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2538533/reclaimed-oak-beam-wooden-chandelier-ceiling-barn-light-pendant-for-exposed-vintage-bulbs-custom-built-3-to-12-bulb-options,Bespoke > Chandeliers,MooBoo Home,brown,wood,"number of bulb holders, length, price","4 bulb holders, 50cm long, £300","5 bulb holders, 60cm long, £330","6 bulb holders, 70cm long, £360","7 bulb holders, 80cm long, £390","8 bulb holders, 90cm long, £410","9 bulb holders, 100cm long, £450","10 bulb holders, 110cm long, £480","11 bulb holders, 120cm, £510","12 bulb holders, 130cm long, £550","13 bulb holders, 140cm, £580",,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
8,Whiskey Barrel Chandelier - Long Drop,"Perfect for a home with height, a dramatic drop of cables suspended from stunning unique oak that really will be the centrepiece of a home. 

Perfect in double height spaces such as entrance halls, stairways and living spaces.",https://www.mooboohome.co.uk/shop/p_2534094/whiskey-barrel-chandelier-long-drop,https://drive.google.com/file/d/1T3KidXcAQFSoyEJJLuWXRyhDLtqFADh6/view?usp=sharing,"GBP505,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2534094/whiskey-barrel-chandelier-long-drop,Bespoke > Chandeliers,MooBoo Home,brown,wood,"drop length, price","1m50cm, £505","3m long, £550","7m50cm, £595","10m, £640",,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
9,Cable Reel Chandelier,"This light particularly suits high vaulted ceilings and is perfect as a major lighting feature in a barn conversion or property with a mezzanine level and open plan living space. Also perfect for the dining room as a feature over your dining table, a wonderful way of adding warmth to a living room or kitchen island. ",https://www.mooboohome.co.uk/shop/p_2791238/cable-reel-chandelier,https://drive.google.com/file/d/1eqyd1DBrKsFFXiT5dtjULVJcLcCHafT7/view?usp=sharing,"GBP450,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2791238/cable-reel-chandelier,Bespoke > Chandeliers,MooBoo Home,brown,wood,number of lamp holders,"8 bulb holders, £480","10 bulb holders, £510","12 bulb holders, £540","14 bulb holders, £570","16 bulb holders, £600",,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
10,Whiskey Stave Hanging Wall Light - Bespoke Oak Backing,"Whiskey Barrel Stave Wall Lights are a lovely way of making a big statement with their beautiful curves. 
",https://www.mooboohome.co.uk/shop/p_2777596/whiskey-stave-hanging-wall-light-bespoke-oak-backing,https://drive.google.com/file/d/1JOve3k88Fqas99fUOuy3Lk0PSpu4O1fw/view?usp=sharing,"GBP140,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2777596/whiskey-stave-hanging-wall-light-bespoke-oak-backing,Bespoke > Wall Lights ,MooBoo Home,brown,wood,,,,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
11,Whiskey Stave Table Lamp - Bespoke ,"These gorgeous Whiskey Stave Table Lamps are made to order and each one of them is totally unique. 

We cant make these quick enough, they never spend longer than a couple of days on the shelf in our studio!",https://www.mooboohome.co.uk/shop/p_2758428/whiskey-stave-table-lamp-bespoke,https://drive.google.com/file/d/16XB9PB_EIZscvnFG_TSmLaP4cZZ_HWGx/view?usp=sharing,"GBP120,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2758428/whiskey-stave-table-lamp-bespoke,Bespoke > Table Lamps ,MooBoo Home,black,wood,,,,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
12,Cage Shades,"We have these specially made for us by a master lamp shade maker. 
They are finished to match with our Old English Brass components and can be used on table lamps, wall lights, and ceiling pendants. ",https://www.mooboohome.co.uk/shop/p_2692161/cage-shades,https://drive.google.com/file/d/1S12eWm_lnT85ctDFObaKLCHF75Cp-GdH/view?usp=sharing,"GBP20,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2692161/cage-shades,Bespoke > Table Lamps ,MooBoo Home,black,metal,"name, price","Large Pumpkin, £35","Small Barrel, £20","Small Pumpkin, £20",,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
